Vizualizare catalog24/05/2021 14:27:32
Logare profesor 24/05/2021 14:54:37
Adauga materie 24/05/2021 14:54:42
Logare profesor 24/05/2021 15:13:45
Sterge materie 24/05/2021 15:13:48
Vizualizare catalog 24/05/2021 15:14:00
Logare profesor 24/05/2021 15:15:08
Adauga materie 24/05/2021 15:15:11
Logare profesor 24/05/2021 15:16:29
Adauga materie 24/05/2021 15:16:32
Vizualizare catalog 24/05/2021 15:16:46
Logare profesor 24/05/2021 15:17:04
Sterge materie 24/05/2021 15:17:07
Logare profesor 24/05/2021 15:17:56
Sterge materie 24/05/2021 15:17:59
Logare admin 24/05/2021 15:57:38
Vizualizare catalog 24/05/2021 15:57:51
Logare admin 24/05/2021 16:00:04
Logare admin 24/05/2021 16:03:03
Logare admin 24/05/2021 16:04:14
Vizualizare catalog 24/05/2021 16:04:33
Logare admin 24/05/2021 16:13:07
Logare admin 24/05/2021 16:14:39
Vizualizare catalog 24/05/2021 16:15:11
Logare admin 24/05/2021 16:16:13
Logare admin 24/05/2021 16:17:01
Logare admin 24/05/2021 16:18:17
Logare admin 24/05/2021 16:25:51
Logare admin 24/05/2021 16:31:23
Logare admin 24/05/2021 16:32:13
Vizualizare catalog 24/05/2021 16:32:26
Logare admin 24/05/2021 16:33:12
Vizualizare catalog 24/05/2021 16:33:14
Logare admin 24/05/2021 16:34:12
Vizualizare catalog 24/05/2021 16:34:33
Logare admin 24/05/2021 16:36:07
Vizualizare catalog 24/05/2021 16:36:17
Logare admin 24/05/2021 16:54:01
Logare admin 24/05/2021 17:02:17
Logare admin 24/05/2021 17:03:39
Adaugare clasa 24/05/2021 17:03:47
Vizualizare catalog 24/05/2021 17:04:08
Adaugare elev 24/05/2021 17:04:23
Vizualizare catalog 24/05/2021 17:04:32
Stergere clasa 24/05/2021 17:04:41
Vizualizare catalog 24/05/2021 17:04:46
Modificare nume profesor 24/05/2021 17:04:51
Adaugare clasa 24/05/2021 17:05:02
Modificare nume profesor 24/05/2021 17:05:15
Vizualizare catalog 24/05/2021 17:05:25
Stergere clasa 24/05/2021 17:05:29
Logare admin 24/05/2021 17:38:36
Vizualizare catalog 24/05/2021 17:38:39
Modificare nume scoala 24/05/2021 17:38:44
Vizualizare catalog 24/05/2021 17:38:50
Logare admin 24/05/2021 17:43:34
Modificare adresa scoala 24/05/2021 17:43:37
Vizualizare catalog 24/05/2021 17:43:51
Logare admin 24/05/2021 17:47:10
Modificare nume scoala 24/05/2021 17:47:14
Modificare adresa scoala 24/05/2021 17:47:18
Vizualizare catalog 24/05/2021 17:47:27
Vizualizare catalog 24/05/2021 17:49:35
Modificare nume scoala 24/05/2021 17:49:40
Vizualizare catalog 24/05/2021 17:49:46
Modificare adresa scoala 24/05/2021 17:49:50
Vizualizare catalog 24/05/2021 17:49:55
Logare admin 24/05/2021 18:20:02
Adaugare clasa 24/05/2021 18:20:16
Vizualizare catalog 24/05/2021 18:20:32
Logare elev 24/05/2021 18:20:54
Logare admin 24/05/2021 18:21:20
Vizualizare catalog 24/05/2021 18:21:23
Logare admin 24/05/2021 18:22:46
Vizualizare catalog 24/05/2021 18:22:48
Logare admin 24/05/2021 18:42:03
Vizualizare catalog 24/05/2021 18:42:06
Logare admin 24/05/2021 18:48:39
Vizualizare catalog 24/05/2021 18:48:45
Logare admin 24/05/2021 18:52:44
Vizualizare catalog 24/05/2021 18:52:46
Logare admin 24/05/2021 18:54:17
Vizualizare catalog 24/05/2021 18:54:19
Logare elev 24/05/2021 19:15:19
Vizualizare catalog 24/05/2021 19:15:21
Afisare numar absente 24/05/2021 19:15:24
Calculare medie 24/05/2021 19:15:35
Schimba parola 24/05/2021 19:15:48
Logare admin 24/05/2021 19:16:41
Modificare cont 24/05/2021 19:16:48
Logare elev 24/05/2021 19:20:27
Vizualizare catalog 24/05/2021 19:20:31
Calculare medie 24/05/2021 19:20:40
Calculare medie 24/05/2021 19:20:46
Logare profesor 24/05/2021 19:21:22
Vizualizare catalog 24/05/2021 19:21:37
Adauga absenta 24/05/2021 19:22:10
Vizualizare catalog 24/05/2021 19:22:33
Adauga materie 24/05/2021 19:22:45
Vizualizare catalog 24/05/2021 19:23:34
Adauga materie 24/05/2021 19:24:00
Logare admin 24/05/2021 19:24:35
